year,month,manufacturer,value
2024,3,洛阳北方企业集团有限公司,15322.0
2024,3,广东星际机车科技有限公司,11571.0
2024,3,珠海珠江车业有限公司,14175.0
2024,3,重庆航天巴山摩托车制造有限公司,12225.0
2024,3,五羊-本田摩托（广州）有限公司,10046.0
2024,3,重庆鑫源摩托车股份有限公司,11970.0
2024,3,浙江春风动力股份有限公司,13016.0
2024,3,鹤山国机南联摩托车工业有限公司,6674.0
2024,3,重庆建设机电有限责任公司,9580.0
2024,3,江门市长华集团有限公司,10189.0
2024,3,江苏众星摩托有限公司,7961.0
2024,3,长铃集团长春摩托车工业有限公司,9196.0
2024,3,台州市王野机车有限责任公司,8125.0
2024,3,浙江嘉爵摩托车制造有限公司,5607.0
2024,3,常州光阳摩托车有限公司,7159.0
2024,3,江门市华龙摩托车有限公司,6270.0
2024,3,三友控股集团银友摩托车有限公司,4351.0
2024,3,江门市迪豪摩托车有限公司,3603.0
2024,3,重庆望江摩托车制造有限公司,5609.0
2024,3,济南轻骑摩托车有限公司,4253.0
2024,3,宁波市龙嘉摩托车有限公司,2162.0
2024,3,宁波市龙嘉动力科技有限公司,3642.0
2024,3,浙江森铃摩托车有限公司,3419.0
2024,3,重庆银钢科技(集团)有限公司,1551.0
2024,3,济南大隆机车工业有限公司,3121.0
2024,3,重庆光宇摩托车制造有限公司,1246.0
2024,3,浙江天本车业有限公司,2944.0
2024,3,浙江吉铭实业有限公司,717.0
2024,3,重庆新感觉摩托车有限公司,2935.0
2024,3,福建省晋江市三力机车有限公司,1015.0
2024,3,江苏林海动力机械集团有限公司,1500.0
2024,3,广州福羊科技有限公司,1289.0
2024,3,金翌车业有限公司,1883.0
2024,3,重庆嘉陵工业有限公司,1066.0
2024,3,重庆劲扬摩托车工业有限公司,0.0
2024,3,浙江华洋赛车股份有限公司,1693.0
2024,3,西藏新珠峰摩托车有限公司,770.0
2024,3,杭州土星动力科技有限公司,595.0
2024,3,重庆万虎机电有限责任公司,436.0
2024,3,增城市东阳摩托车实业有限公司,870.0
2024,3,广州番禺豪剑摩托车工业有限公司,822.0
2024,3,济南轻骑铃木摩托车有限公司,460.0
2024,3,江苏林芝山阳集团有限公司,288.0
2024,3,金城集团有限公司,366.0
2024,3,浙江日雅摩托车有限公司,0.0
2024,3,立峰集团有限公司,0.0
2024,3,慈溪金轮机车制造有限公司,0.0
2024,3,宁波东方凌云车辆制造有限公司,0.0
2024,3,广东大联统摩托车有限公司,0.0
2024,3,广州五羊摩托有限公司,0.0
2024,3,康超集团广州摩托车制造有限公司,0.0
2024,4,重庆隆鑫机车有限公司,125297.0
2024,4,江门市大长江集团有限公司,73038.0
2024,4,重庆银翔摩托车集团有限公司,59192.0
2024,4,广东大冶摩托车技术有限公司,63974.0
2024,4,广州豪进摩托车股份有限公司,67538.0
2024,4,宗申产业集团有限公司,48995.0
2024,4,江门市珠峰摩托车有限公司,41972.0
2024,4,新大洲本田摩托(苏州)有限公司,30618.0
2024,4,力帆实业（集团）股份有限公司,26041.0
2024,4,广州大运摩托车有限公司,24203.0
2024,4,广州天马集团天马摩托车有限公司,22911.0
2024,4,浙江钱江摩托股份有限公司,16540.0
2024,4,广州三雅摩托车有限公司,20125.0
2024,4,重庆润通智能装备有限公司,20116.0
2024,4,洛阳北方企业集团有限公司,21206.0
2024,4,厦门厦杏摩托有限公司,17510.0
2024,4,重庆航天巴山摩托车制造有限公司,18980.0
2024,4,广东星际机车科技有限公司,14177.0
2024,4,珠海珠江车业有限公司,17055.0
2024,4,重庆鑫源摩托车股份有限公司,19600.0
2024,4,五羊-本田摩托（广州）有限公司,10517.0
2024,4,鹤山国机南联摩托车工业有限公司,19935.0
2024,4,浙江春风动力股份有限公司,11820.0
2024,4,重庆建设机电有限责任公司,8669.0
2024,4,江门市长华集团有限公司,8895.0
2024,4,江苏众星摩托有限公司,7521.0
2024,4,浙江嘉爵摩托车制造有限公司,8351.0
2024,4,长铃集团长春摩托车工业有限公司,7441.0
2024,4,台州市王野机车有限责任公司,6183.0
2024,4,常州光阳摩托车有限公司,7086.0
2024,4,江门市华龙摩托车有限公司,6265.0
2024,4,三友控股集团银友摩托车有限公司,6480.0
2024,4,江门市迪豪摩托车有限公司,4209.0
2024,4,重庆望江摩托车制造有限公司,4757.0
2024,4,济南轻骑摩托车有限公司,4863.0
2024,4,宁波市龙嘉动力科技有限公司,4646.0
2024,4,重庆银钢科技(集团)有限公司,5649.0
