year,month,indicator,scope,category,type,value
2016,7,销售,二轮,250ml<排量≤400ml,排量,2902.0
2016,7,销售,二轮,400ml<排量≤750ml,排量,878.0
2016,7,销售,二轮,50ml<排量≤60ml,排量,0.0
2016,7,销售,二轮,60ml<排量≤70ml,排量,6331.0
2016,7,销售,二轮,70ml<排量≤80ml,排量,1029.0
2016,7,销售,二轮,80ml<排量≤90ml,排量,7366.0
2016,7,销售,二轮,90ml<排量≤100ml,排量,66766.0
2016,7,销售,二轮,排量>750ml,排量,0.0
2016,7,销售,二轮,排量≤50ml,排量,59194.0
2016,7,销售,二轮,电动摩托车,排量,10019.0
2016,7,销售,二轮,二轮,汇总,1148310.0
2016,7,销售,二轮,其它式,车型,0.0
2016,7,销售,二轮,弯梁式,车型,192892.0
2016,7,销售,二轮,踏板式,车型,281064.0
2016,7,销售,二轮,骑式式,车型,674354.0
2016,7,销售,总计,总计,汇总,1309502.0
2016,11,生产,三轮,125ml<排量≤150ml,排量,103086.0
2016,11,生产,三轮,150ml<排量≤250ml,排量,75105.0
2016,11,生产,三轮,250ml<排量≤400ml,排量,2025.0
2016,11,生产,三轮,400ml<排量≤750ml,排量,864.0
2016,11,生产,三轮,50ml<排量≤100ml,排量,7255.0
2016,11,生产,三轮,排量>750ml,排量,898.0
2016,11,生产,三轮,排量≤50ml,排量,0.0
2016,11,生产,三轮,电动摩托车,排量,0.0
2016,11,生产,三轮,三轮,汇总,189233.0
2016,11,生产,三轮,正三轮,车型,189161.0
2016,11,生产,三轮,边三轮,车型,72.0
2016,11,生产,二轮,100ml<排量≤110ml,排量,240557.0
2016,11,生产,二轮,110ml<排量≤125ml,排量,569950.0
2016,11,生产,二轮,125ml<排量≤150ml,排量,300681.0
2016,11,生产,二轮,150ml<排量≤250ml,排量,81725.0
2016,11,生产,二轮,250ml<排量≤400ml,排量,4092.0
2016,11,生产,二轮,400ml<排量≤750ml,排量,2082.0
2016,11,生产,二轮,50ml<排量≤60ml,排量,0.0
2016,11,生产,二轮,60ml<排量≤70ml,排量,7508.0
2016,11,生产,二轮,70ml<排量≤80ml,排量,2996.0
2016,11,生产,二轮,80ml<排量≤90ml,排量,6474.0
2016,11,生产,二轮,90ml<排量≤100ml,排量,80058.0
2016,11,生产,二轮,排量>750ml,排量,0.0
2016,11,生产,二轮,排量≤50ml,排量,61086.0
2016,11,生产,二轮,电动摩托车,排量,6890.0
2016,11,生产,二轮,二轮,汇总,1364099.0
2016,11,生产,二轮,其它式,车型,0.0
2016,11,生产,二轮,弯梁式,车型,232150.0
2016,11,生产,二轮,踏板式,车型,336360.0
2016,11,生产,二轮,骑式式,车型,795589.0
2016,11,生产,总计,总计,汇总,1553332.0
2016,11,销售,三轮,125ml<排量≤150ml,排量,102701.0
2016,11,销售,三轮,150ml<排量≤250ml,排量,75224.0
2016,11,销售,三轮,250ml<排量≤400ml,排量,2026.0
2016,11,销售,三轮,400ml<排量≤750ml,排量,868.0
2016,11,销售,三轮,50ml<排量≤100ml,排量,7391.0
2016,11,销售,三轮,排量>750ml,排量,972.0
2016,11,销售,三轮,排量≤50ml,排量,0.0
2016,11,销售,三轮,电动摩托车,排量,0.0
2016,11,销售,三轮,三轮,汇总,189182.0
2016,11,销售,三轮,正三轮,车型,189078.0
2016,11,销售,三轮,边三轮,车型,104.0
2016,11,销售,二轮,100ml<排量≤110ml,排量,228687.0
2016,11,销售,二轮,110ml<排量≤125ml,排量,535963.0
2016,11,销售,二轮,125ml<排量≤150ml,排量,299339.0
2016,11,销售,二轮,150ml<排量≤250ml,排量,78071.0
2016,11,销售,二轮,250ml<排量≤400ml,排量,3232.0
2016,11,销售,二轮,400ml<排量≤750ml,排量,2022.0
2016,11,销售,二轮,50ml<排量≤60ml,排量,0.0
2016,11,销售,二轮,60ml<排量≤70ml,排量,7528.0
2016,11,销售,二轮,70ml<排量≤80ml,排量,3377.0
2016,11,销售,二轮,80ml<排量≤90ml,排量,6885.0
2016,11,销售,二轮,90ml<排量≤100ml,排量,76002.0
2016,11,销售,二轮,排量>750ml,排量,0.0
2016,11,销售,二轮,排量≤50ml,排量,56370.0
2016,11,销售,二轮,电动摩托车,排量,7140.0
2016,11,销售,二轮,二轮,汇总,1304616.0
2016,11,销售,二轮,其它式,车型,0.0
2016,11,销售,二轮,弯梁式,车型,228560.0
2016,11,销售,二轮,踏板式,车型,296172.0
2016,11,销售,二轮,骑式式,车型,779884.0
2016,11,销售,总计,总计,汇总,1493798.0
2016,12,生产,三轮,125ml<排量≤150ml,排量,105819.0
2016,12,生产,三轮,150ml<排量≤250ml,排量,71335.0
2016,12,生产,三轮,250ml<排量≤400ml,排量,2028.0
2016,12,生产,三轮,400ml<排量≤750ml,排量,1508.0
2016,12,生产,三轮,50ml<排量≤100ml,排量,4189.0
2016,12,生产,三轮,排量>750ml,排量,930.0
2016,12,生产,三轮,排量≤50ml,排量,0.0
2016,12,生产,三轮,电动摩托车,排量,1.0
2016,12,生产,三轮,三轮,汇总,185810.0
2016,12,生产,三轮,正三轮,车型,185762.0
2016,12,生产,三轮,边三轮,车型,48.0
2016,12,生产,二轮,100ml<排量≤110ml,排量,238263.0
2016,12,生产,二轮,110ml<排量≤125ml,排量,599652.0
2016,12,生产,二轮,125ml<排量≤150ml,排量,298724.0
2016,12,生产,二轮,150ml<排量≤250ml,排量,73981.0
2016,12,生产,二轮,250ml<排量≤400ml,排量,4463.0
2016,12,生产,二轮,400ml<排量≤750ml,排量,1242.0
2016,12,生产,二轮,50ml<排量≤60ml,排量,0.0
2016,12,生产,二轮,60ml<排量≤70ml,排量,8563.0
2016,12,生产,二轮,70ml<排量≤80ml,排量,626.0
2016,12,生产,二轮,80ml<排量≤90ml,排量,7971.0
2016,12,生产,二轮,90ml<排量≤100ml,排量,82046.0
2016,12,生产,二轮,排量>750ml,排量,0.0
2016,12,生产,二轮,排量≤50ml,排量,62742.0
2016,12,生产,二轮,电动摩托车,排量,5375.0
2016,12,生产,二轮,二轮,汇总,1383648.0
2016,12,生产,二轮,其它式,车型,0.0
2016,12,生产,二轮,弯梁式,车型,227333.0
2016,12,生产,二轮,踏板式,车型,357390.0
